lemma,tag
ეშინია,V;ARGNO1S;IND;PRS
ეშინია,V;ARGNO2S;IND;PRS
ეშინია,V;ARGNO3S;IND;PRS
ეშინია,V;ARGNO1P;IND;PRS
ეშინია,V;ARGNO2P;IND;PRS
ეშინია,V;ARGNO3P;IND;PRS
ეშინია,V;ARGNO1S;IND;IPFV
ეშინია,V;ARGNO2S;IND;IPFV
ეშინია,V;ARGNO3S;IND;IPFV
ეშინია,V;ARGNO1P;IND;IPFV
ეშინია,V;ARGNO2P;IND;IPFV
ეშინია,V;ARGNO3P;IND;IPFV
ეშინია,V;ARGNO1S;SBJV;PRS
ეშინია,V;ARGNO2S;SBJV;PRS
ეშინია,V;ARGNO3S;SBJV;PRS
ეშინია,V;ARGNO1P;SBJV;PRS
ეშინია,V;ARGNO2P;SBJV;PRS
ეშინია,V;ARGNO3P;SBJV;PRS
ეშინია,V;ARGNO1S;IND;FUT
ეშინია,V;ARGNO2S;IND;FUT
ეშინია,V;ARGNO3S;IND;FUT
ეშინია,V;ARGNO1P;IND;FUT
ეშინია,V;ARGNO2P;IND;FUT
ეშინია,V;ARGNO3P;IND;FUT
ეშინია,V;ARGNO1S;COND
ეშინია,V;ARGNO2S;COND
ეშინია,V;ARGNO3S;COND
ეშინია,V;ARGNO1P;COND
ეშინია,V;ARGNO2P;COND
ეშინია,V;ARGNO3P;COND
ეშინია,V;ARGNO1S;SBJV;FUT
ეშინია,V;ARGNO2S;SBJV;FUT
ეშინია,V;ARGNO3S;SBJV;FUT
ეშინია,V;ARGNO1P;SBJV;FUT
ეშინია,V;ARGNO2P;SBJV;FUT
ეშინია,V;ARGNO3P;SBJV;FUT
ეშინია,V;ARGNO1S;IND;PRF
ეშინია,V;ARGNO2S;IND;PRF
ეშინია,V;ARGNO3S;IND;PRF
ეშინია,V;ARGNO1P;IND;PRF
ეშინია,V;ARGNO2P;IND;PRF
ეშინია,V;ARGNO3P;IND;PRF
ეშინია,V;ARGNO1S;IND;PST;PRF
ეშინია,V;ARGNO2S;IND;PST;PRF
ეშინია,V;ARGNO3S;IND;PST;PRF
ეშინია,V;ARGNO1P;IND;PST;PRF
ეშინია,V;ARGNO2P;IND;PST;PRF
ეშინია,V;ARGNO3P;IND;PST;PRF
ეშინია,V;ARGNO1S;SBJV;PRF
ეშინია,V;ARGNO2S;SBJV;PRF
ეშინია,V;ARGNO3S;SBJV;PRF
ეშინია,V;ARGNO1P;SBJV;PRF
ეშინია,V;ARGNO2P;SBJV;PRF
ეშინია,V;ARGNO3P;SBJV;PRF
ეშინია,V;V.MSDR;IPFV
უხარია,V;ARGNO1S;IND;PRS
უხარია,V;ARGNO2S;IND;PRS
უხარია,V;ARGNO3S;IND;PRS
უხარია,V;ARGNO1P;IND;PRS
უხარია,V;ARGNO2P;IND;PRS
უხარია,V;ARGNO3P;IND;PRS
უხარია,V;ARGNO1S;IND;IPFV
უხარია,V;ARGNO2S;IND;IPFV
უხარია,V;ARGNO3S;IND;IPFV
უხარია,V;ARGNO1P;IND;IPFV
უხარია,V;ARGNO2P;IND;IPFV
უხარია,V;ARGNO3P;IND;IPFV
უხარია,V;ARGNO1S;SBJV;PRS
უხარია,V;ARGNO2S;SBJV;PRS
უხარია,V;ARGNO3S;SBJV;PRS
უხარია,V;ARGNO1P;SBJV;PRS
უხარია,V;ARGNO2P;SBJV;PRS
უხარია,V;ARGNO3P;SBJV;PRS
უხარია,V;ARGNO1S;IND;FUT
უხარია,V;ARGNO2S;IND;FUT
უხარია,V;ARGNO3S;IND;FUT
უხარია,V;ARGNO1P;IND;FUT
უხარია,V;ARGNO2P;IND;FUT
უხარია,V;ARGNO3P;IND;FUT
უხარია,V;ARGNO1S;COND
უხარია,V;ARGNO2S;COND
უხარია,V;ARGNO3S;COND
უხარია,V;ARGNO1P;COND
უხარია,V;ARGNO2P;COND
უხარია,V;ARGNO3P;COND
უხარია,V;ARGNO1S;SBJV;FUT
უხარია,V;ARGNO2S;SBJV;FUT
უხარია,V;ARGNO3S;SBJV;FUT
უხარია,V;ARGNO1P;SBJV;FUT
უხარია,V;ARGNO2P;SBJV;FUT
უხარია,V;ARGNO3P;SBJV;FUT
უხარია,V;ARGNO1S;IND;PRF
უხარია,V;ARGNO2S;IND;PRF
უხარია,V;ARGNO3S;IND;PRF
უხარია,V;ARGNO1P;IND;PRF
უხარია,V;ARGNO2P;IND;PRF
უხარია,V;ARGNO3P;IND;PRF
უხარია,V;ARGNO1S;IND;PST;PRF
უხარია,V;ARGNO2S;IND;PST;PRF
უხარია,V;ARGNO3S;IND;PST;PRF
უხარია,V;ARGNO1P;IND;PST;PRF
უხარია,V;ARGNO2P;IND;PST;PRF
უხარია,V;ARGNO3P;IND;PST;PRF
უხარია,V;ARGNO1S;SBJV;PRF
უხარია,V;ARGNO2S;SBJV;PRF
უხარია,V;ARGNO3S;SBJV;PRF
უხარია,V;ARGNO1P;SBJV;PRF
უხარია,V;ARGNO2P;SBJV;PRF
უხარია,V;ARGNO3P;SBJV;PRF
უხარია,V;V.MSDR;IPFV
ეცინება,V;ARGNO1S;IND;PRS
ეცინება,V;ARGNO2S;IND;PRS
ეცინება,V;ARGNO3S;IND;PRS
ეცინება,V;ARGNO1P;IND;PRS
ეცინება,V;ARGNO2P;IND;PRS
ეცინება,V;ARGNO3P;IND;PRS
ეცინება,V;ARGNO1S;IND;IPFV
ეცინება,V;ARGNO2S;IND;IPFV
ეცინება,V;ARGNO3S;IND;IPFV
ეცინება,V;ARGNO1P;IND;IPFV
ეცინება,V;ARGNO2P;IND;IPFV
ეცინება,V;ARGNO3P;IND;IPFV
ეცინება,V;ARGNO1S;SBJV;PRS
ეცინება,V;ARGNO2S;SBJV;PRS
ეცინება,V;ARGNO3S;SBJV;PRS
ეცინება,V;ARGNO1P;SBJV;PRS
ეცინება,V;ARGNO2P;SBJV;PRS
ეცინება,V;ARGNO3P;SBJV;PRS
ეცინება,V;ARGNO1S;IND;FUT
ეცინება,V;ARGNO2S;IND;FUT
ეცინება,V;ARGNO3S;IND;FUT
ეცინება,V;ARGNO1P;IND;FUT
ეცინება,V;ARGNO2P;IND;FUT
ეცინება,V;ARGNO3P;IND;FUT
ეცინება,V;ARGNO1S;COND
ეცინება,V;ARGNO2S;COND
ეცინება,V;ARGNO3S;COND
ეცინება,V;ARGNO1P;COND
ეცინება,V;ARGNO2P;COND
ეცინება,V;ARGNO3P;COND
ეცინება,V;ARGNO1S;SBJV;FUT
ეცინება,V;ARGNO2S;SBJV;FUT
ეცინება,V;ARGNO3S;SBJV;FUT
ეცინება,V;ARGNO1P;SBJV;FUT
ეცინება,V;ARGNO2P;SBJV;FUT
ეცინება,V;ARGNO3P;SBJV;FUT
ეცინება,V;ARGNO1S;IND;PRF
ეცინება,V;ARGNO2S;IND;PRF
ეცინება,V;ARGNO3S;IND;PRF
ეცინება,V;ARGNO1P;IND;PRF
ეცინება,V;ARGNO2P;IND;PRF
ეცინება,V;ARGNO3P;IND;PRF
ეცინება,V;ARGNO1S;IND;PST;PRF
ეცინება,V;ARGNO2S;IND;PST;PRF
ეცინება,V;ARGNO3S;IND;PST;PRF
ეცინება,V;ARGNO1P;IND;PST;PRF
ეცინება,V;ARGNO2P;IND;PST;PRF
ეცინება,V;ARGNO3P;IND;PST;PRF
ეცინება,V;ARGNO1S;SBJV;PRF
ეცინება,V;ARGNO2S;SBJV;PRF
ეცინება,V;ARGNO3S;SBJV;PRF
ეცინება,V;ARGNO1P;SBJV;PRF
ეცინება,V;ARGNO2P;SBJV;PRF
ეცინება,V;ARGNO3P;SBJV;PRF
ეცინება,V;V.MSDR;IPFV
სძინავს,V;ARGNO1S;IND;PRS
სძინავს,V;ARGNO2S;IND;PRS
სძინავს,V;ARGNO3S;IND;PRS
სძინავს,V;ARGNO1P;IND;PRS
სძინავს,V;ARGNO2P;IND;PRS
სძინავს,V;ARGNO3P;IND;PRS
სძინავს,V;ARGNO1S;IND;FUT
სძინავს,V;ARGNO2S;IND;FUT
სძინავს,V;ARGNO3S;IND;FUT
სძინავს,V;ARGNO1P;IND;FUT
სძინავს,V;ARGNO2P;IND;FUT
სძინავს,V;ARGNO3P;IND;FUT
სძინავს,V;ARGNO1S;COND
სძინავს,V;ARGNO2S;COND
სძინავს,V;ARGNO3S;COND
სძინავს,V;ARGNO1P;COND
სძინავს,V;ARGNO2P;COND
სძინავს,V;ARGNO3P;COND
სძინავს,V;ARGNO1S;SBJV;FUT
სძინავს,V;ARGNO2S;SBJV;FUT
სძინავს,V;ARGNO3S;SBJV;FUT
სძინავს,V;ARGNO1P;SBJV;FUT
სძინავს,V;ARGNO2P;SBJV;FUT
სძინავს,V;ARGNO3P;SBJV;FUT
სძინავს,V;ARGNO1S;IND;IPFV
სძინავს,V;ARGNO2S;IND;IPFV
სძინავს,V;ARGNO3S;IND;IPFV
სძინავს,V;ARGNO1P;IND;IPFV
სძინავს,V;ARGNO2P;IND;IPFV
სძინავს,V;ARGNO3P;IND;IPFV
სძინავს,V;ARGNO1S;SBJV;PRS
სძინავს,V;ARGNO2S;SBJV;PRS
სძინავს,V;ARGNO3S;SBJV;PRS
სძინავს,V;ARGNO1P;SBJV;PRS
სძინავს,V;ARGNO2P;SBJV;PRS
სძინავს,V;ARGNO3P;SBJV;PRS
სძინავს,V;ARGNO1S;IND;PRF
სძინავს,V;ARGNO2S;IND;PRF
სძინავს,V;ARGNO3S;IND;PRF
სძინავს,V;ARGNO1P;IND;PRF
სძინავს,V;ARGNO2P;IND;PRF
სძინავს,V;ARGNO3P;IND;PRF
სძინავს,V;ARGNO1S;IND;PST;PRF
სძინავს,V;ARGNO2S;IND;PST;PRF
სძინავს,V;ARGNO3S;IND;PST;PRF
სძინავს,V;ARGNO1P;IND;PST;PRF
სძინავს,V;ARGNO2P;IND;PST;PRF
სძინავს,V;ARGNO3P;IND;PST;PRF
სძინავს,V;ARGNO1S;SBJV;PRF
სძინავს,V;ARGNO2S;SBJV;PRF
სძინავს,V;ARGNO3S;SBJV;PRF
სძინავს,V;ARGNO1P;SBJV;PRF
სძინავს,V;ARGNO2P;SBJV;PRF
სძინავს,V;ARGNO3P;SBJV;PRF
სძინავს,V;V.MSDR;IPFV
იბადება,V;ARGNO1S;IND;PRS
იბადება,V;ARGNO2S;IND;PRS
იბადება,V;ARGNO3S;IND;PRS
იბადება,V;ARGNO1P;IND;PRS
იბადება,V;ARGNO2P;IND;PRS
იბადება,V;ARGNO3P;IND;PRS
იბადება,V;ARGNO1S;IND;IPFV
იბადება,V;ARGNO2S;IND;IPFV
იბადება,V;ARGNO3S;IND;IPFV
იბადება,V;ARGNO1P;IND;IPFV
იბადება,V;ARGNO2P;IND;IPFV
იბადება,V;ARGNO3P;IND;IPFV
იბადება,V;ARGNO1S;SBJV;PRS
იბადება,V;ARGNO2S;SBJV;PRS
იბადება,V;ARGNO3S;SBJV;PRS
იბადება,V;ARGNO1P;SBJV;PRS
იბადება,V;ARGNO2P;SBJV;PRS
იბადება,V;ARGNO3P;SBJV;PRS
იბადება,V;ARGNO1S;IND;FUT
იბადება,V;ARGNO2S;IND;FUT
იბადება,V;ARGNO3S;IND;FUT
იბადება,V;ARGNO1P;IND;FUT
იბადება,V;ARGNO2P;IND;FUT
იბადება,V;ARGNO3P;IND;FUT
იბადება,V;ARGNO1S;COND
იბადება,V;ARGNO2S;COND
იბადება,V;ARGNO3S;COND
იბადება,V;ARGNO1P;COND
იბადება,V;ARGNO2P;COND
იბადება,V;ARGNO3P;COND
იბადება,V;ARGNO1S;SBJV;FUT
იბადება,V;ARGNO2S;SBJV;FUT
იბადება,V;ARGNO3S;SBJV;FUT
იბადება,V;ARGNO1P;SBJV;FUT
იბადება,V;ARGNO2P;SBJV;FUT
იბადება,V;ARGNO3P;SBJV;FUT
იბადება,V;ARGNO1S;IND;PST;PFV
იბადება,V;ARGNO2S;IND;PST;PFV
იბადება,V;ARGNO3S;IND;PST;PFV
იბადება,V;ARGNO1P;IND;PST;PFV
იბადება,V;ARGNO2P;IND;PST;PFV
იბადება,V;ARGNO3P;IND;PST;PFV
იბადება,V;ARGNO2S;IMP
იბადება,V;ARGNO2P;IMP
იბადება,V;ARGNO1S;OPT
იბადება,V;ARGNO2S;OPT
იბადება,V;ARGNO3S;OPT
იბადება,V;ARGNO1P;OPT
იბადება,V;ARGNO2P;OPT
იბადება,V;ARGNO3P;OPT
იბადება,V;ARGNO1P;IMP
იბადება,V;ARGNO3S;IMP
იბადება,V;ARGNO3P;IMP
იბადება,V;ARGNO1S;IND;PRF
იბადება,V;ARGNO2S;IND;PRF
იბადება,V;ARGNO3S;IND;PRF
იბადება,V;ARGNO1P;IND;PRF
იბადება,V;ARGNO2P;IND;PRF
იბადება,V;ARGNO3P;IND;PRF
იბადება,V;ARGNO1S;IND;PST;PRF
იბადება,V;ARGNO2S;IND;PST;PRF
იბადება,V;ARGNO3S;IND;PST;PRF
იბადება,V;ARGNO1P;IND;PST;PRF
იბადება,V;ARGNO2P;IND;PST;PRF
იბადება,V;ARGNO3P;IND;PST;PRF
იბადება,V;ARGNO1S;SBJV;PRF
იბადება,V;ARGNO2S;SBJV;PRF
იბადება,V;ARGNO3S;SBJV;PRF
იბადება,V;ARGNO1P;SBJV;PRF
იბადება,V;ARGNO2P;SBJV;PRF
იბადება,V;ARGNO3P;SBJV;PRF
იბადება,V;V.MSDR;PRF
შენდება,V;ARGNO1S;IND;PRS
შენდება,V;ARGNO2S;IND;PRS
შენდება,V;ARGNO3S;IND;PRS
შენდება,V;ARGNO1P;IND;PRS
შენდება,V;ARGNO2P;IND;PRS
შენდება,V;ARGNO3P;IND;PRS
შენდება,V;ARGNO1S;IND;IPFV
შენდება,V;ARGNO2S;IND;IPFV
შენდება,V;ARGNO3S;IND;IPFV
შენდება,V;ARGNO1P;IND;IPFV
შენდება,V;ARGNO2P;IND;IPFV
შენდება,V;ARGNO3P;IND;IPFV
შენდება,V;ARGNO1S;SBJV;PRS
შენდება,V;ARGNO2S;SBJV;PRS
შენდება,V;ARGNO3S;SBJV;PRS
შენდება,V;ARGNO1P;SBJV;PRS
შენდება,V;ARGNO2P;SBJV;PRS
შენდება,V;ARGNO3P;SBJV;PRS
შენდება,V;ARGNO1S;IND;FUT
შენდება,V;ARGNO2S;IND;FUT
შენდება,V;ARGNO3S;IND;FUT
შენდება,V;ARGNO1P;IND;FUT
შენდება,V;ARGNO2P;IND;FUT
შენდება,V;ARGNO3P;IND;FUT
შენდება,V;ARGNO1S;COND
შენდება,V;ARGNO2S;COND
შენდება,V;ARGNO3S;COND
შენდება,V;ARGNO1P;COND
შენდება,V;ARGNO2P;COND
შენდება,V;ARGNO3P;COND
შენდება,V;ARGNO1S;SBJV;FUT
შენდება,V;ARGNO2S;SBJV;FUT
შენდება,V;ARGNO3S;SBJV;FUT
შენდება,V;ARGNO1P;SBJV;FUT
შენდება,V;ARGNO2P;SBJV;FUT
შენდება,V;ARGNO3P;SBJV;FUT
შენდება,V;ARGNO1S;IND;PST;PFV
შენდება,V;ARGNO2S;IND;PST;PFV
შენდება,V;ARGNO3S;IND;PST;PFV
შენდება,V;ARGNO1P;IND;PST;PFV
შენდება,V;ARGNO2P;IND;PST;PFV
შენდება,V;ARGNO3P;IND;PST;PFV
შენდება,V;ARGNO2S;IMP
შენდება,V;ARGNO2P;IMP
შენდება,V;ARGNO1S;OPT
შენდება,V;ARGNO2S;OPT
შენდება,V;ARGNO3S;OPT
შენდება,V;ARGNO1P;OPT
შენდება,V;ARGNO2P;OPT
შენდება,V;ARGNO3P;OPT
შენდება,V;ARGNO1P;IMP
შენდება,V;ARGNO3S;IMP
შენდება,V;ARGNO3P;IMP
შენდება,V;ARGNO1S;IND;PRF
შენდება,V;ARGNO2S;IND;PRF
შენდება,V;ARGNO3S;IND;PRF
შენდება,V;ARGNO1P;IND;PRF
შენდება,V;ARGNO2P;IND;PRF
შენდება,V;ARGNO3P;IND;PRF
შენდება,V;ARGNO1S;IND;PST;PRF
შენდება,V;ARGNO2S;IND;PST;PRF
შენდება,V;ARGNO3S;IND;PST;PRF
შენდება,V;ARGNO1P;IND;PST;PRF
შენდება,V;ARGNO2P;IND;PST;PRF
შენდება,V;ARGNO3P;IND;PST;PRF
შენდება,V;ARGNO1S;SBJV;PRF
შენდება,V;ARGNO2S;SBJV;PRF
შენდება,V;ARGNO3S;SBJV;PRF
შენდება,V;ARGNO1P;SBJV;PRF
შენდება,V;ARGNO2P;SBJV;PRF
შენდება,V;ARGNO3P;SBJV;PRF
შენდება,V;V.MSDR;PRF
იწმინდება,V;ARGNO1S;IND;PRS
იწმინდება,V;ARGNO2S;IND;PRS
იწმინდება,V;ARGNO3S;IND;PRS
იწმინდება,V;ARGNO1P;IND;PRS
იწმინდება,V;ARGNO2P;IND;PRS
იწმინდება,V;ARGNO3P;IND;PRS
იწმინდება,V;ARGNO1S;IND;IPFV
იწმინდება,V;ARGNO2S;IND;IPFV
იწმინდება,V;ARGNO3S;IND;IPFV
იწმინდება,V;ARGNO1P;IND;IPFV
იწმინდება,V;ARGNO2P;IND;IPFV
იწმინდება,V;ARGNO3P;IND;IPFV
იწმინდება,V;ARGNO1S;SBJV;PRS
იწმინდება,V;ARGNO2S;SBJV;PRS
იწმინდება,V;ARGNO3S;SBJV;PRS
იწმინდება,V;ARGNO1P;SBJV;PRS
იწმინდება,V;ARGNO2P;SBJV;PRS
იწმინდება,V;ARGNO3P;SBJV;PRS
იწმინდება,V;ARGNO1S;IND;FUT
იწმინდება,V;ARGNO2S;IND;FUT
იწმინდება,V;ARGNO3S;IND;FUT
იწმინდება,V;ARGNO1P;IND;FUT
იწმინდება,V;ARGNO2P;IND;FUT
იწმინდება,V;ARGNO3P;IND;FUT
იწმინდება,V;ARGNO1S;COND
იწმინდება,V;ARGNO2S;COND
იწმინდება,V;ARGNO3S;COND
იწმინდება,V;ARGNO1P;COND
იწმინდება,V;ARGNO2P;COND
იწმინდება,V;ARGNO3P;COND
იწმინდება,V;ARGNO1S;SBJV;FUT
იწმინდება,V;ARGNO2S;SBJV;FUT
იწმინდება,V;ARGNO3S;SBJV;FUT
იწმინდება,V;ARGNO1P;SBJV;FUT
იწმინდება,V;ARGNO2P;SBJV;FUT
იწმინდება,V;ARGNO3P;SBJV;FUT
იწმინდება,V;ARGNO1S;IND;PST;PFV
იწმინდება,V;ARGNO2S;IND;PST;PFV
იწმინდება,V;ARGNO3S;IND;PST;PFV
იწმინდება,V;ARGNO1P;IND;PST;PFV
იწმინდება,V;ARGNO2P;IND;PST;PFV
იწმინდება,V;ARGNO3P;IND;PST;PFV
იწმინდება,V;ARGNO2S;IMP
იწმინდება,V;ARGNO2P;IMP
იწმინდება,V;ARGNO1S;OPT
იწმინდება,V;ARGNO2S;OPT
იწმინდება,V;ARGNO3S;OPT
იწმინდება,V;ARGNO1P;OPT
იწმინდება,V;ARGNO2P;OPT
იწმინდება,V;ARGNO3P;OPT
იწმინდება,V;ARGNO1P;IMP
იწმინდება,V;ARGNO3S;IMP
იწმინდება,V;ARGNO3P;IMP
იწმინდება,V;ARGNO1S;IND;PRF
იწმინდება,V;ARGNO2S;IND;PRF
იწმინდება,V;ARGNO3S;IND;PRF
იწმინდება,V;ARGNO1P;IND;PRF
იწმინდება,V;ARGNO2P;IND;PRF
იწმინდება,V;ARGNO3P;IND;PRF
იწმინდება,V;ARGNO1S;IND;PST;PRF
იწმინდება,V;ARGNO2S;IND;PST;PRF
იწმინდება,V;ARGNO3S;IND;PST;PRF
იწმინდება,V;ARGNO1P;IND;PST;PRF
იწმინდება,V;ARGNO2P;IND;PST;PRF
იწმინდება,V;ARGNO3P;IND;PST;PRF
იწმინდება,V;ARGNO1S;SBJV;PRF
იწმინდება,V;ARGNO2S;SBJV;PRF
იწმინდება,V;ARGNO3S;SBJV;PRF
იწმინდება,V;ARGNO1P;SBJV;PRF
იწმინდება,V;ARGNO2P;SBJV;PRF
იწმინდება,V;ARGNO3P;SBJV;PRF
იწმინდება,V;V.MSDR;IPFV
იხარშება,V;ARGNO1S;IND;PRS
იხარშება,V;ARGNO2S;IND;PRS
იხარშება,V;ARGNO3S;IND;PRS
იხარშება,V;ARGNO1P;IND;PRS
იხარშება,V;ARGNO2P;IND;PRS
იხარშება,V;ARGNO3P;IND;PRS
იხარშება,V;ARGNO1S;IND;IPFV
იხარშება,V;ARGNO2S;IND;IPFV
იხარშება,V;ARGNO3S;IND;IPFV
იხარშება,V;ARGNO1P;IND;IPFV
იხარშება,V;ARGNO2P;IND;IPFV
იხარშება,V;ARGNO3P;IND;IPFV
იხარშება,V;ARGNO1S;SBJV;PRS
იხარშება,V;ARGNO2S;SBJV;PRS
იხარშება,V;ARGNO3S;SBJV;PRS
იხარშება,V;ARGNO1P;SBJV;PRS
იხარშება,V;ARGNO2P;SBJV;PRS
იხარშება,V;ARGNO3P;SBJV;PRS
იხარშება,V;ARGNO1S;IND;FUT
იხარშება,V;ARGNO2S;IND;FUT
იხარშება,V;ARGNO3S;IND;FUT
იხარშება,V;ARGNO1P;IND;FUT
იხარშება,V;ARGNO2P;IND;FUT
იხარშება,V;ARGNO3P;IND;FUT
იხარშება,V;ARGNO1S;COND
იხარშება,V;ARGNO2S;COND
იხარშება,V;ARGNO3S;COND
იხარშება,V;ARGNO1P;COND
იხარშება,V;ARGNO2P;COND
იხარშება,V;ARGNO3P;COND
იხარშება,V;ARGNO1S;SBJV;FUT
იხარშება,V;ARGNO2S;SBJV;FUT
იხარშება,V;ARGNO3S;SBJV;FUT
იხარშება,V;ARGNO1P;SBJV;FUT
იხარშება,V;ARGNO2P;SBJV;FUT
იხარშება,V;ARGNO3P;SBJV;FUT
იხარშება,V;ARGNO1S;IND;PST;PFV
იხარშება,V;ARGNO2S;IND;PST;PFV
იხარშება,V;ARGNO3S;IND;PST;PFV
იხარშება,V;ARGNO1P;IND;PST;PFV
იხარშება,V;ARGNO2P;IND;PST;PFV
იხარშება,V;ARGNO3P;IND;PST;PFV
იხარშება,V;ARGNO2S;IMP
იხარშება,V;ARGNO2P;IMP
იხარშება,V;ARGNO1S;OPT
იხარშება,V;ARGNO2S;OPT
იხარშება,V;ARGNO3S;OPT
იხარშება,V;ARGNO1P;OPT
იხარშება,V;ARGNO2P;OPT
იხარშება,V;ARGNO3P;OPT
იხარშება,V;ARGNO1P;IMP
იხარშება,V;ARGNO3S;IMP
იხარშება,V;ARGNO3P;IMP
იხარშება,V;ARGNO1S;IND;PRF
იხარშება,V;ARGNO2S;IND;PRF
იხარშება,V;ARGNO3S;IND;PRF
იხარშება,V;ARGNO1P;IND;PRF
იხარშება,V;ARGNO2P;IND;PRF
იხარშება,V;ARGNO3P;IND;PRF
იხარშება,V;ARGNO1S;IND;PST;PRF
იხარშება,V;ARGNO2S;IND;PST;PRF
იხარშება,V;ARGNO3S;IND;PST;PRF
იხარშება,V;ARGNO1P;IND;PST;PRF
იხარშება,V;ARGNO2P;IND;PST;PRF
იხარშება,V;ARGNO3P;IND;PST;PRF
იხარშება,V;ARGNO1S;SBJV;PRF
იხარშება,V;ARGNO2S;SBJV;PRF
იხარშება,V;ARGNO3S;SBJV;PRF
იხარშება,V;ARGNO1P;SBJV;PRF
იხარშება,V;ARGNO2P;SBJV;PRF
იხარშება,V;ARGNO3P;SBJV;PRF
იხარშება,V;V.MSDR;IPFV
კეთდება,V;ARGNO1S;IND;PRS
კეთდება,V;ARGNO2S;IND;PRS
კეთდება,V;ARGNO3S;IND;PRS
კეთდება,V;ARGNO1P;IND;PRS
კეთდება,V;ARGNO2P;IND;PRS
კეთდება,V;ARGNO3P;IND;PRS
კეთდება,V;ARGNO1S;IND;IPFV
კეთდება,V;ARGNO2S;IND;IPFV
კეთდება,V;ARGNO3S;IND;IPFV
კეთდება,V;ARGNO1P;IND;IPFV
კეთდება,V;ARGNO2P;IND;IPFV
კეთდება,V;ARGNO3P;IND;IPFV
კეთდება,V;ARGNO1S;SBJV;PRS
კეთდება,V;ARGNO2S;SBJV;PRS
კეთდება,V;ARGNO3S;SBJV;PRS
კეთდება,V;ARGNO1P;SBJV;PRS
კეთდება,V;ARGNO2P;SBJV;PRS
კეთდება,V;ARGNO3P;SBJV;PRS
კეთდება,V;ARGNO1S;IND;FUT
კეთდება,V;ARGNO2S;IND;FUT
კეთდება,V;ARGNO3S;IND;FUT
კეთდება,V;ARGNO1P;IND;FUT
კეთდება,V;ARGNO2P;IND;FUT
კეთდება,V;ARGNO3P;IND;FUT
კეთდება,V;ARGNO1S;COND
კეთდება,V;ARGNO2S;COND
კეთდება,V;ARGNO3S;COND
კეთდება,V;ARGNO1P;COND
კეთდება,V;ARGNO2P;COND
კეთდება,V;ARGNO3P;COND
კეთდება,V;ARGNO1S;SBJV;FUT
კეთდება,V;ARGNO2S;SBJV;FUT
კეთდება,V;ARGNO3S;SBJV;FUT
კეთდება,V;ARGNO1P;SBJV;FUT
კეთდება,V;ARGNO2P;SBJV;FUT
კეთდება,V;ARGNO3P;SBJV;FUT
კეთდება,V;ARGNO1S;IND;PST;PFV
კეთდება,V;ARGNO2S;IND;PST;PFV
